# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cycles:P'
# Event count (approx.): 15366302616
#
# Overhead  Command        Shared Object           Symbol                                  
# ........  .............  ......................  ........................................
#
     0.00%  my_executable  libc.so.6               [.] 0x000000000015b4ff
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159609
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x0000000000023f88
     0.00%  my_executable  libc.so.6               [.] 0x000000000004d175
     0.00%  my_executable  [kernel.vmlinux]        [k] fd_install
     0.00%  my_executable  [kernel.vmlinux]        [k] __fdget_raw
     0.00%  my_executable  [kernel.vmlinux]        [k] sysfs_emit
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073aff
     0.00%  my_executable  [kernel.vmlinux]        [k] kvmalloc_node
     0.00%  my_executable  [kernel.vmlinux]        [k] update_irq_load_avg
     0.00%  my_executable  libc.so.6               [.] 0x0000000000054c18
     0.00%  my_executable  [kernel.vmlinux]        [k] kmalloc_trace
     0.00%  my_executable  libc.so.6               [.] 0x00000000000993c5
     0.00%  my_executable  [kernel.vmlinux]        [k] filldir64
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073337
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073a77
     0.00%  my_executable  [kernel.vmlinux]        [k] run_rebalance_domains
     0.00%  my_executable  libhwloc.so.15.7.0      [.] hwloc_bitmap_and
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b0c
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000023ac0
     0.00%  my_executable  [kernel.vmlinux]        [k] move_addr_to_kernel
     0.00%  my_executable  [kernel.vmlinux]        [k] lookup_fast
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073db9
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000986b
     0.00%  my_executable  [kernel.vmlinux]        [k] __htab_map_lookup_elem
     0.00%  my_executable  libc.so.6               [.] 0x0000000000053810
     0.00%  my_executable  [kernel.vmlinux]        [k] __accumulate_pelt_segments
     0.00%  my_executable  [kernel.vmlinux]        [k] inherit_task_group.isra.0
     0.00%  my_executable  [kernel.vmlinux]        [k] inherit_event.isra.0
     0.00%  my_executable  [kernel.vmlinux]        [k] x86_pmu_hw_config
     0.00%  my_executable  [kernel.vmlinux]        [k] find_idlest_group
     0.00%  my_executable  [kernel.vmlinux]        [k] x86_pmu_event_init
     0.00%  my_executable  libmpi.so.40.40.2       [.] 0x0000000000231e70
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733ef
     0.00%  my_executable  [unknown]               [k] 0xffffffffc00a16ca
     0.00%  my_executable  [kernel.vmlinux]        [k] tracing_record_taskinfo_sched_switch
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_event_init_task
     0.00%  my_executable  [kernel.vmlinux]        [k] alloc_vmap_area
     0.00%  my_executable  [kernel.vmlinux]        [k] __memcg_kmem_charge_page
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_update_gap.part.0
     0.00%  my_executable  [kernel.vmlinux]        [k] __common_interrupt
     0.00%  my_executable  [kernel.vmlinux]        [k] acct_account_cputime
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b78
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc_node
     0.00%  my_executable  libc.so.6               [.] __lll_lock_wait_private
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a974
     0.00%  my_executable  libc.so.6               [.] 0x000000000008782d
     0.00%  my_executable  [kernel.vmlinux]        [k] sigprocmask
     0.00%  my_executable  [kernel.vmlinux]        [k] mntput_no_expire
     0.00%  my_executable  libc.so.6               [.] 0x00000000000638eb
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000290b
     0.00%  my_executable  [kernel.vmlinux]        [k] __lruvec_stat_mod_folio
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x0000000000024857
     0.00%  my_executable  libc.so.6               [.] sched_setaffinity
     0.00%  my_executable  libc.so.6               [.] 0x0000000000156a20
     0.00%  my_executable  [kernel.vmlinux]        [k] restore_fpregs_from_fpstate
     0.00%  my_executable  [kernel.vmlinux]        [k] folio_add_lru
     0.00%  my_executable  libm.so.6               [.] 0x00000000000731bb
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] mca_base_var_register_synonym
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x000000000002c9d0
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073aee
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073433
     0.00%  my_executable  [kernel.vmlinux]        [k] number
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b2b
     0.00%  my_executable  libpmix.so.2.9.5        [.] PMIx_Load_nspace
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025fa
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002746
