# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles:P'
# Event count (approx.): 14749627215
#
# Overhead  Command        Shared Object           Symbol                                     
# ........  .............  ......................  ...........................................
#
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000005b9d
     0.00%  my_executable  [kernel.vmlinux]        [k] folio_add_new_anon_rmap
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a2b9
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000984f
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000219f3
     0.00%  my_executable  [kernel.vmlinux]        [k] skb_put
     0.00%  my_executable  [kernel.vmlinux]        [k] task_tick_fair
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073abd
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735a8
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] _dl_exception_create_format
     0.00%  my_executable  [kernel.vmlinux]        [k] dequeue_entity
     0.00%  my_executable  libhwloc.so.15.7.0      [.] hwloc_linux_set_tid_cpubind
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073772
     0.00%  my_executable  [kernel.vmlinux]        [k] note_gp_changes
     0.00%  my_executable  [kernel.vmlinux]        [k] filemap_map_pages
     0.00%  my_executable  libhwloc.so.15.7.0      [.] 0x000000000000785f
     0.00%  my_executable  libucp.so.0.0.0         [.] 0x000000000001dd80
     0.00%  my_executable  libc.so.6               [.] 0x000000000015a00a
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025fa
     0.00%  my_executable  libc.so.6               [.] 0x00000000000993ba
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000028f3
     0.00%  my_executable  libc.so.6               [.] 0x000000000015a056
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073a7b
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000977c
     0.00%  my_executable  [kernel.vmlinux]        [k] vma_alloc_folio
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025b8
     0.00%  my_executable  [kernel.vmlinux]        [k] list_add_leaf_cfs_rq
     0.00%  my_executable  [kernel.vmlinux]        [k] deactivate_slab
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x0000000000093cd9
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_event_alloc
     0.00%  my_executable  [kernel.vmlinux]        [k] __perf_event_header__init_id
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_stat_account
     0.00%  my_executable  [kernel.vmlinux]        [k] rb_insert_color
     0.00%  my_executable  [kernel.vmlinux]        [k] kmalloc_node_trace
     0.00%  my_executable  [kernel.vmlinux]        [k] user_disable_single_step
     0.00%  my_executable  [kernel.vmlinux]        [k] __task_pid_nr_ns
