# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 68K of event 'cycles:P'
# Event count (approx.): 32878886678
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bc6
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073f70
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000733b3
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073de2
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c6a
     0.00%  my_executable  [kernel.vmlinux]            [k] mem_cgroup_from_task
     0.00%  my_executable  [kernel.vmlinux]            [k] irqentry_enter
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073768
     0.00%  my_executable  [kernel.vmlinux]            [k] __perf_event_task_sched_in
     0.00%  my_executable  [kernel.vmlinux]            [k] scheduler_tick
     0.00%  my_executable  [kernel.vmlinux]            [k] tick_program_event
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073463
     0.00%  my_executable  [kernel.vmlinux]            [k] rwsem_down_read_slowpath
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_mm_cid_before_execve
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007360d
     0.00%  my_executable  [kernel.vmlinux]            [k] sysvec_call_function
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c66
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073a63
     0.00%  my_executable  [kernel.vmlinux]            [k] zap_page_range_single
     0.00%  my_executable  [kernel.vmlinux]            [k] clockevents_program_event
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073b78
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073313
     0.00%  my_executable  [kernel.vmlinux]            [k] vma_adjust_trans_huge
     0.00%  my_executable  [kernel.vmlinux]            [k] internal_get_user_pages_fast
     0.00%  my_executable  libc.so.6                   [.] 0x000000000008b3e3
     0.00%  my_executable  [kernel.vmlinux]            [k] ethtool_get_settings
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000735b3
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000731f2
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007359a
     0.00%  my_executable  [kernel.vmlinux]            [k] lockref_put_return
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007332a
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c58
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015ad93
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159819
     0.00%  my_executable  [kernel.vmlinux]            [k] intel_cpufreq_update_pstate
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073135
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] _dl_find_dso_for_object
     0.00%  my_executable  libuct_cma.so.0.0.0         [.] 0x00000000000030f4
     0.00%  my_executable  libgomp.so.1.0.0            [.] gomp_work_share_start
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000002f70
     0.00%  my_executable  [kernel.vmlinux]            [k] netlink_lookup
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000721a5
     0.00%  my_executable  [kernel.vmlinux]            [k] lock_vma_under_rcu
     0.00%  my_executable  [kernel.vmlinux]            [k] security_socket_recvmsg
     0.00%  my_executable  [kernel.vmlinux]            [k] inode_init_always
     0.00%  my_executable  [kernel.vmlinux]            [k] rb_erase
     0.00%  my_executable  libopen-pal.so.80.0.2       [.] 0x0000000000021674
     0.00%  my_executable  [kernel.vmlinux]            [k] skb_queue_tail
     0.00%  my_executable  [kernel.vmlinux]            [k] alloc_pages_mpol
     0.00%  my_executable  [kernel.vmlinux]            [k] _raw_spin_unlock_irqrestore
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097fcf
     0.00%  my_executable  [kernel.vmlinux]            [k] avg_vruntime
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000041798
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005cfeb
     0.00%  my_executable  [kernel.vmlinux]            [k] llist_add_batch
     0.00%  my_executable  [kernel.vmlinux]            [k] uncharge_batch
     0.00%  my_executable  [kernel.vmlinux]            [k] futex_hash
     0.00%  my_executable  [kernel.vmlinux]            [k] security_task_setscheduler
     0.00%  my_executable  [kernel.vmlinux]            [k] mas_wr_node_store
     0.00%  my_executable  libgomp.so.1.0.0            [.] gomp_ptrlock_get_slow
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000117ff4
